Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
Dyson Supurge,YouTube,@Ali-o7d3n,Bu makine vaadettikleriyle fiyatını hakeden bir makine değil videodan bunu anladım kısaca. Ha para dert olmayana hava hoş ama taksitle alacağım işte köşeye bunun için para ayırdım vs. Gerçekten akıl işi değil. Dyson dan v10 absolute veya v11 sonrası herhangi bir makine gereksiz masrafa girmekten başka birşey değildir. Kimse için elektrikli süpürgesinin ne kadar ölçüde ne kadar toz çektiğini öğrenmesi elzem bir ihtiyaç değildir😂.,0,2024-01-09T18:02:54Z,makine vaadettikleriyle fiyatını hake makine değil video bunu anladım kısaca para dert olmayana hava hoş taksitle alacağım işte köşeye bun para ayırdım gerçekten akıl işi değil dyson dan absolute veya sonrası herhangi makine gereksiz masrafa girmekten başka birşey değildir kimse elektrikli süpürgesi ölçüde toz çektiğini öğrenmesi elzem ihtiyaç değildir,-1.0,Olumsuz,0
AirPods Pro,YouTube,@yasarb43,Gümbür gümbür müzik dinleyici olarak güçlü bass durumu nedir iyi bass veriyor mu hocam,1,2023-12-16T13:17:06Z,gümbür gümbür müzik dinleyici olarak güçlü bass durumu nedir iyi bass veriyor hocam,1.0,Olumlu,1
MacBook Air,YouTube,@furkansanverdi1743,Merhabalar macbook ile aklıma takılan tek şey depolama oda şundan dolayı masaüstü bilgisayarım 2tb yeri var bana anca yetiyor macbookta  bu sorun nasıl çözülüyor,1,2025-07-18T21:10:27Z,merhaba macbook aklıma takılan tek depolama oda şun dolayı masaüstü bilgisayarım yeri anca yetiyor macbookta sor nasıl çözülüyor,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_13464, Poco f6 pro alırım daha iyi samsung ekranları ufak,63,2024-09-29T12:39:25Z,poco pro alırım iyi samsung ekranları ufak,1.0,Olumlu,1
iPhone 15,YouTube,@Yeliz2424,Arkadaşlar telefonumu degistiricem sizce iphone 13 mü daha iyi yoksa Samsung S25 mi bu iki cihaz arasında kararsız kaldım bilgisi olan yazabilir mi lütfen teşekkürler.,0,2025-07-03T02:27:53Z,arkadaş telefonumu degistiricem sizce iphone iyi yoksa samsung iki cihaz arasında kararsız kaldım bilgisi olan yazabilir lütfen teşekkür,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_69060,@Webtekno Eşime 9 taksitle doğumgünü hediyesi aldım. Mükemmel ötesi bir temizlik yapıyor. İmkanı olanlar için gerçekten tavsiye ederim. İşinin hakkını veriyor.,43,2024-01-05T17:03:56Z,webtekno eşime taksitle doğumgünü hediyesi aldım mükemmel ötesi temizlik yapıyor imkanı olan gerçekten tavsiye eder işi hakkını veriyor,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_56242, Bu videolar yüzünden hiçbirşeyden memnun olmaz oldum herşeyde bi kusur,9,2020-01-27T10:13:32Z,video yüzün hiçbirşey memn olmaz oldum herşeyde kusur,1.0,Olumlu,1
iPhone 15,YouTube,@barissyaa,"İphone 11 cihazından 15’e 3 gün önce geçtim genelde millet normal kullanımda 7-8 saat ekran süresi aldığını söyledi youtubedaki batarya testleride bunu doğruluyor cihaz güzel ancak batarya saçmalamış durumda dün 7.30 saat ekran süresi aldım bugün 5 saat :( ( ancak bugün genelde hücresel veri + spotify takıldım) 
1-Genelde apple watch ve airpods bağlı, arka planda uygulama yenileme ya kapalı veya wifi seçeneğinde.

2-10 dakika kullanıp şarjı azalmıyor ardından ekranı kapatıp açınca %2-3’lük düşüşler yaşıyorum hatta cihazı %27 seviyesinde kapatıp açtım bi anda %24’e düştü kalibre olayımı gerçekleşiyor onuda bilmiyorum servis yolu gözükmez umarım. (20-100 arası şarj ediyorum eğer 6 saat gideceğini bilsem %80 sınıra çekipte kullanabilirim)",0,2024-04-22T21:53:10Z,iphone cihazın gün önce geçt genelde millet normal kullanımda saat ekran süresi aldığını söyledi youtubedaki batarya testleride bunu doğruluyor cihaz güzel batarya saçmalamış durumda dün saat ekran süresi aldım bug saat bug genelde hücresel veri spotify takıldım genelde apple watch airpods bağlı arka planda uygulama yenileme kapalı veya wifi seçeneğinde dakika kullanıp şarjı azalmıyor ardın ekranı kapatıp açınca lük düşüş yaşıyorum hatta cihazı seviyesinde kapatıp açtım anda düştü kalibre olayı gerçekleşiyor onuda bilmiyorum servis yolu gözükmez umarım arası şarj ediyorum eğer saat gideceğini bilsem sınıra çekipte kullanabilir,1.0,Olumlu,1
AirPods Pro,YouTube,@alican48_01,"Anlatım çok güzel izlemek, dinlemek çok keyifli ağzına sağlık 👍",0,2020-01-26T11:11:03Z,anlatım güzel izlemek dinlemek keyifli ağzına sağlık,1.0,Olumlu,1
Samsung S24,YouTube,@EnsarPolat-r3g,Exynos 2400 cok cok iyi bir islemci duzgun optimize olmuş bir oyunda akıyor resmen herkese öneririm 8 gen 3 ü aratmicak seviyede,5,2025-02-03T16:46:49Z,exynos cok cok iyi islemci duzg optimize olmuş oyunda akıyor resmen herkese önerir gen aratmicak seviyede,1.0,Olumlu,1
AirPods Pro,YouTube,@beysan_tasci,"Sayın GÜRSOY, inceleme için teşekkürler ancak bu tip kulaklık incelemelerinde gördüğüm genel bir eksiklik sizde  de var sanki: 
1-kulaklığın aptx vb gibi kodeklerden hangileri ni destekleyip hangilerini desteklemediği hakkında bir bilgi yok. 
2- Bu kodeklerin kulaklığa kattığı artı, yoksa eksikliğinin ne olduğu hak. bir bilgi yok. 
3- kulaklığın son sesinin desibel cinsinden değeri ve son seste sesi bozup bozmadığı. 
4- Objektif kriterlere dayalı ses kalitesi bilgisi. (Nasıl olur ben de bilmiyorum😀)
Teşekkür ederim.",0,2020-01-28T22:02:29Z,sayın gürsoy inceleme teşekkür tip kulaklık incelemelerinde gördüğüm genel eksiklik sizde sanki kulaklığın aptx kodekler hangileri destekleyip hangilerini desteklemediği hakkında bilgi kodeklerin kulaklığa kattığı artı yoksa eksikliği olduğu hak bilgi kulaklığın son sesi desibel cinsin değeri son seste sesi bozup bozmadığı objektif kriterlere dayalı ses kalitesi bilgisi nasıl olur bilmiyorum teşekkür eder,1.0,Olumlu,1
AirPods Pro,YouTube,@21muhammet32,Çok çok kaliteli.,0,2020-01-26T22:54:43Z,kaliteli,1.0,Olumlu,1
Samsung S24,YouTube,@sedatgokcen4187,Eline emeğine sağlık 👏👏👏 cihaza gelince cihaz güzel ama oyun için alınmaz. Kamera için kendi fiyat skalasında en iyi cihaz. Video için çok teşekkürler ❤,0,2024-07-14T07:33:12Z,eline emeğine sağlık cihaza gelince cihaz güzel oyun alınmaz kamera kendi fiyat skalasında iyi cihaz video teşekkür,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_56142, İphone 13pro daha iyi fark yok,51,2023-10-05T15:06:01Z,iphone pro iyi fark,1.0,Olumlu,1
AirPods Pro,YouTube,@yucelakinci1356,GEEK ve WİSH te 40-50 TL kargo dahil 80 TL kulaklıklar varken neden insanlar Samsung iPhone vb gibi markalara 800-1000 TL verir ki? Ben yıllardır GEEK'ten aldığım kulaklıkları kullanıyorum. Ve oldukça kullanışlı ve kaliteli 8 saat  gidiyor şarjı 2 telefona birden bağlanabiliyor. Ses kalitesi oldukça iyi stand'dan çıkarıp kulağınıza taktığınız anda otomatik bağlanıyor. Dokunmatik özelliği var kulak içinde hiç rahatsız etmiyor asla düşmüyor. iPhone vb markaların bu tür kulaklığı yokken ben yıllar önce kullanıyordum. Hala da kullanıyorum. Herkese de tavsiye ederim asla bu paraları vermeye değmez.,0,2020-01-28T12:13:38Z,geek wish kargo dahil kulaklık varken neden insan samsung iphone markalara verir yıllardır geekten aldığım kulaklıkları kullanıyorum oldukça kullanışlı kaliteli saat gidiyor şarjı telefona bir bağlanabiliyor ses kalitesi oldukça iyi stand çıkarıp kulağınıza taktığınız anda otomatik bağlanıyor dokunmatik özelliği kulak içinde hiç rahatsız etmiyor asla düşmüyor iphone markaların tür kulaklığı yokken yıl önce kullanıyordum hala kullanıyorum herkese tavsiye eder asla paraları vermeye değmez,0.5,Olumlu,1
iPhone 15,YouTube,@LewisUmutton44,15 ten yazıyorum gayet iyi cihaz ama iPhone takıntınız yoksa bu fiyata s23 ultra öneririm,0,2024-05-13T10:38:55Z,ten yazıyorum gayet iyi cihaz iphone takıntınız yoksa fiyata ultra önerir,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_81054,"@SamsungTurkiye Selam,  ürünü iPad Air 3 te kullanirken olması gerektiği gibi sağ sol dengesi muthisken , iPhone 11 e bagladigimda soldan daha fazla sağdan oldukça az geliyor. Bu durumda sorun iPhone 11 de , peki bu sorun nasıl çözülür bilen varmı dır ?",73,2021-11-18T00:45:50Z,samsungturkiye selam ürünü ipad air kullanirken olması gerektiği sağ sol dengesi muthisken iphone bagladigimda sol fazla sağ oldukça geliyor durumda sor iphone peki sor nasıl çözülür bilen var dır,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_81584, Enes hocam QCY H4 modeli çıktı yakın zamanda. Kulaküstü model olan H2 nin ANCli versiyonu. İlgimi çekti sizden bir inceleme izlemek iyi olurdu.,8,2023-10-07T09:03:13Z,enes hocam qcy modeli çıktı yakın zamanda kulaküstü model olan nin ancli versiyonu ilgi çekti siz inceleme izlemek iyi olurdu,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_5559,🙌 Bu adam isini cok iyi yapiyor #unboxing,240,2024-03-12T19:06:47Z,adam isini cok iyi yapiyor unboxing,1.0,Olumlu,1
AirPods Pro,YouTube,@muradibrahimli695,Ooo  her yorumuma kalp atan kral abim video da atmish hadi misirimizi alip izleyelim,2,2020-01-25T16:11:04Z,ooo her yorumuma kalp atan kral abim video atmish hadi misirimizi alip izleyel,1.0,Olumlu,1
iPhone 15,YouTube,@anthropomancy6319,"Bugün iPhone 15 i inceleme fırsatım oldu. Hali hazırda S23 kullandığım için, 60 hz i görünce aşırı derecede kasıyor gibi hissettim.",1,2023-10-07T19:19:21Z,bug iphone inceleme fırsatım oldu hali hazırda kullandığım görünce aşırı derecede kasıyor hissett,-1.0,Olumsuz,0
AirPods Pro,YouTube,@yasinbulur8832,"Sarj kablosunun bir ucu lightning diğer ucunun type c olması sevindirdi. Ben de çok silikon uçlu kulaklık sevmiyorum. Dolayısıyla 800-900 TL bandında Freebuds 3 veya AirPods 2'nin de güzel bir tercih olabileceğini düşünüyorum, üstelik Freebuds 3'de aktif gürültü engelleyici de var.",3,2020-05-01T15:54:55Z,sarj kablosun ucu lightning diğer ucun type olması sevindirdi silikon uçlu kulaklık sevmiyorum dolayısıyla bandında freebuds veya airpods nin güzel tercih olabileceğini düşünüyorum üstelik freebuds aktif gürültü engelleyici,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_2730,💩 Abi montajları çok iyi yapmışsın bi inceleme videosu olsa bile çok akıcı 🧡 #inceleme,426,2020-01-25T21:44:20Z,abi montajları iyi yapmışsın inceleme videosu olsa bile akıcı inceleme,1.0,Olumlu,1
AirPods Pro,YouTube,@dursuncansimsek6013,"Sennheiser Momentum True Wireless 1 senedir kullanan biri olarak, ses kalitesi harika, kötü kısmı ise kutusu kendi kendine durduk yere şarj yemesi ve bitmesi onun dışında süper bir kulaklık.Airpods Pro test etme şansım oldu, Sennheiser açık ara fark atıyor şarjı ise 4 saat rahat gidiyor.",0,2020-01-28T06:38:46Z,sennheiser momentum true wireless senedir kullanan biri olarak ses kalitesi harika kötü kıs ise kutusu kendi kendine durduk yere şarj yemesi bitmesi onun dışında süper kulaklıkairpods pro test etme şansım oldu sennheiser açık ara fark atıyor şarjı ise saat rahat gidiyor,0.3333333333333333,Olumlu,1
iPhone 15,YouTube,@8_DEVIL_8,Bu adam isini cok iyi yapiyor,0,2024-03-12T19:06:47Z,adam isini cok iyi yapiyor,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_89069,"@Webtekno Güzel telefon, alınır mı alınır. Kompakt bir amiral gemisi cihaz. Ancak S25 beklenir bence... 2025 yılının ocak ayında tanıtılması bekleniyor. Eminim ki s25'te batarya konusu kökten çözülür. 4500 mAh'ı görür. Haa fiyat min 40 binden başlar o ayrı. Eğer 45 binleri falan bulursa...",31,2024-10-08T13:37:44Z,webtekno güzel telefon alınır alınır kompakt amiral gemisi cihaz beklenir bence yılı ocak ayında tanıtılması bekleniyor emin ste batarya konusu kökten çözülür mahı görür haa fiyat min bin baş ayrı eğer binleri falan bulursa,1.0,Olumlu,1
AirPods Pro,YouTube,@birkanbircan3584,İkinci el airpod pro tam bir çöp yani.,1,2020-01-26T01:30:42Z,ikinci airpod pro tam çöp yani,-1.0,Olumsuz,0
AirPods Pro,YouTube,@Tayfun.Dolkan,Senneheiser momentum incelemeside bekliyoruz kral👑,3,2020-01-25T21:10:09Z,senneheiser momentum incelemeside bekliyoruz kral,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_27774," Çok güzel bir inceleme olmuş, teşekkür ederim 🙏🏻 🌸🌱",65,2023-04-19T08:42:21Z,güzel inceleme olmuş teşekkür eder,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_47327,@Webtekno 15 ten yazıyorum gayet iyi cihaz ama iPhone takıntınız yoksa bu fiyata s23 ultra öneririm,69,2024-05-13T10:38:55Z,webtekno ten yazıyorum gayet iyi cihaz iphone takıntınız yoksa fiyata ultra önerir,1.0,Olumlu,1
iPhone 15,YouTube,@hasanhuseyiniskl9794,Hocam 13 pro mu 15 düz mü hangisini almamı tavsiye edersiniz,0,2025-07-27T20:03:02Z,hocam pro düz hangisini alma tavsiye eder,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_35113,@SamsungTurkiye Harika bir makine 5 aydır benimle iyi ki benimle 🥰,25,2024-02-12T22:12:56Z,samsungturkiye harika makine aydır benimle iyi benimle,1.0,Olumlu,1
iPhone 15,YouTube,@Firstkurama09,Çok iyi anlatmişsınz ağzıniza sağlık,4,2023-10-05T14:49:51Z,iyi anlatmişsınz ağzıniza sağlık,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_26637, Merhaba 😊 V15 total clean modeli bugün elime ulaştı ancak hazne içindeki siyah lastiğin üstünde tozlar gördüm bu normal mi iade etmeli miyim? Müşteri hizmetleri bunun pudra testi olduğunu söylüyor ama inandırıcı gelmedi açıkçası,38,2024-12-30T21:02:28Z,merhaba total clean modeli bug elime ulaştı hazne içindeki siyah lastiğin üstünde toz gördüm normal iade etmeli miy müşteri hizmetleri bun pudra testi olduğunu söylüyor inandırıcı gelmedi açıkçası,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_59430, Enes abi hala kullanıyor musun ve memnun musun ?,22,2024-03-13T13:04:37Z,enes abi hala kullanıyor mus memn mus,1.0,Olumlu,1
iPhone 15,YouTube,@alicanuzun2211,120 HZ ÇÖP ŞARZI SÖMURUYOR,3,2024-01-13T08:15:31Z,çöp şarzi sömuruyor,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_34553," Merhabalar 13, 14 plus ve 15 arasında kaldım hocam benim için kamera, video kalitesi çok çok önemli bu ürünlerden hangisini almam gerekli şarj da iyi gitmeli?",64,2024-03-06T18:57:34Z,merhaba plus arasında kaldım hocam ben kamera video kalitesi önemli ürünler hangisini almam gerekli şarj iyi gitmeli,1.0,Olumlu,1
AirPods Pro,YouTube,@Augustus45,"Her zamanki gibi çok güzel bir inceleme olmuş.Teşekkür ederiz Alp Bey. Size Bose Soundsport hakkındaki  görüşlerinizi sormuştum.Araştırınca Geçen hafta Sennheiser Momentum True Wireless kulaklık satın almaya karar verdim.Sizin bu incelemenizi de izleyince kesinlikle doğru bir karar verdiğime inanıyorum.Apple bana daha çok gösteriş işi gibi geliyor.Sennheiser de ses kalitesi,kullanışlılık gerçekten muazzam.",5,2020-01-25T16:38:30Z,her zamanki güzel inceleme olmuşteşekkür ederiz alp bey size bose soundsport hakkındaki görüşlerinizi sormuştumaraştırınca geçen hafta sennheiser momentum true wireless kulaklık satın almaya karar verdimsizin incelemenizi izleyince kesinlikle doğru karar verdiğime inanıyorumapple gösteriş işi geliyorsennheiser ses kalitesikullanışlılık gerçekten muazzam,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_2805,😍 Gayette mükemmel bir telefon iyi ki almışım üstelik 256gb versiyonunu 35 bin lira gibi uyguna bir... #teknoloji,70,2024-07-21T09:00:34Z,gayette mükemmel telefon iyi almışım üstelik versiyonunu bin lira uyguna teknoloji,1.0,Olumlu,1
iPhone 15,YouTube,@Dif.480,"2 gün önce aldım , 60 hz in bir önemi yok 😏kamerası mükemmel akıcı çok güzel , çok hızlı şık ekranı büyük sanki , 15 mini çıkarsa mini alırım büyük geldi bana",1,2023-12-29T10:45:01Z,gün önce aldım öne kamerası mükemmel akıcı güzel hızlı şık ekranı büyük sanki mini çıkarsa mini alırım büyük geldi,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_6171,💸 Abi montajları çok iyi yapmışsın bi inceleme videosu olsa bile çok akıcı 🧡 #unboxing,454,2020-01-25T21:44:20Z,abi montajları iyi yapmışsın inceleme videosu olsa bile akıcı unboxing,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_24784,@AppleDestek Ozan kardesim redmi note 12 pro 5g 13 pro 5 g 13 pro plus 11 pro plus hepsini kullandim tekrar redmi note 10 proya geri dondum yemin ederim hic biri sarmadi beni bence redminin en iyi telefonu 10 produr halen ustune bence koyamadilar cikmadi daha onun gibisi,93,2024-07-13T16:59:18Z,appledestek ozan kardes red note pro pro pro plus pro plus hepsini kulland tekrar red note proya geri dondum yemin eder hic biri sarmadi beni bence redmi iyi telefonu produr halen ustune bence koyamadi cikmadi onun gibisi,1.0,Olumlu,1
Samsung S24,YouTube,@CagdasProMax,Gayette mükemmel bir telefon iyi ki almışım üstelik 256gb versiyonunu 35 bin lira gibi uyguna bir fiyata aldım  :),4,2024-07-21T09:00:34Z,gayette mükemmel telefon iyi almışım üstelik versiyonunu bin lira uyguna fiyata aldım,1.0,Olumlu,1
Dyson Supurge,YouTube,@GunesNefes2023,"Ben gen5 almak istedim fakat bu kadar parayı şarjlı bir cihaza vermek istemedim. Bissel FurGuard aldım yenice (üçte bir fiyatına) ve kullanımı beni gayet tatmin etti. Gerek emiş gücü, gerek dayanıklı yapısı bana ""iyi ki"" dedirtti. Araştırmalarımda V11'ye çok yakın bir ürün olduğunu görünce kararım netleşti. Dyson'un elektrikli süpürgesini almak istiyorum. Videosu varsa beni bilgilendirebilir misiniz rica etsem?",0,2025-12-09T10:31:50Z,gen almak isted parayı şarjlı cihaza vermek istemed bissel furguard aldım yenice üçte fiyatına kullanı beni gayet tatmin etti gerek emiş gücü gerek dayanıklı yapısı iyi dedirtti araştırmalarımda vye yakın ürün olduğunu görünce kararım netleşti dyson elektrikli süpürgesini almak istiyorum videosu varsa beni bilgilendirebilir misiniz rica etsem,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_4188,"💸 Çok güzel bir inceleme olmuş, teşekkür ederim 🙏🏻 🌸🌱 #tech",222,2023-04-19T08:42:21Z,güzel inceleme olmuş teşekkür eder tech,1.0,Olumlu,1
Dyson Supurge,YouTube,@bulutsuzgecem,Xiaomi G11 kullanıyoruz. Çekim gücü çok iyi.,1,2024-01-05T22:03:47Z,xiao kullanıyoruz çek gücü iyi,1.0,Olumlu,1
